"kind","scenario","n","effect","method","rejection_rate","R","mc_error","B","alpha","target_R","completed"
"torus_demo","T0_independent",100,0,"HSIC torus product",0.072,250,0.0163482109112893,299,0.05,250,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",0.056,250,0.0145415267424023,299,0.05,250,TRUE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",1,250,0,299,0.05,250,TRUE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",1,250,0,299,0.05,250,TRUE
