"kind","scenario","n","effect","kappa_theta","kappa_phi","method","rejection_rate","R","mc_error","B","alpha","target_R","completed"
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,4,1,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,8,1,"HSIC fixed-grid sensitivity",0.036,500,0.0083311463797007,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,8,1,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,8,1,"HSIC fixed-grid sensitivity",0.086,500,0.0125382614424808,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,8,1,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,16,1,"HSIC fixed-grid sensitivity",0.04,500,0.00876356092008266,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,16,1,"HSIC fixed-grid sensitivity",0.998,500,0.00199799899899875,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,16,1,"HSIC fixed-grid sensitivity",0.088,500,0.0126693330526907,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,16,1,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,32,1,"HSIC fixed-grid sensitivity",0.036,500,0.0083311463797007,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,32,1,"HSIC fixed-grid sensitivity",0.99,500,0.0044497190922574,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,32,1,"HSIC fixed-grid sensitivity",0.084,500,0.0124051602166195,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,32,1,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,0.5,2,"HSIC fixed-grid sensitivity",0.022,500,0.00655987804764692,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,0.5,2,"HSIC fixed-grid sensitivity",0.5,500,0.0223606797749979,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,0.5,2,"HSIC fixed-grid sensitivity",0.048,500,0.00955991631762538,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,0.5,2,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,1,2,"HSIC fixed-grid sensitivity",0.03,500,0.00762889244910426,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,1,2,"HSIC fixed-grid sensitivity",0.99,500,0.0044497190922574,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,1,2,"HSIC fixed-grid sensitivity",0.052,500,0.00992935043192655,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,1,2,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,2,2,"HSIC fixed-grid sensitivity",0.026,500,0.00711674082709213,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,2,2,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,2,2,"HSIC fixed-grid sensitivity",0.076,500,0.0118510759005248,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,2,2,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,4,2,"HSIC fixed-grid sensitivity",0.03,500,0.00762889244910426,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,4,2,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,4,2,"HSIC fixed-grid sensitivity",0.138,500,0.01542439626047,499,0.05,500,TRUE
"reduced_sensitivity","A6_symmetric_nonlinear",100,8,4,2,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","N1_uniform_uniform",100,0,8,2,"HSIC fixed-grid sensitivity",0.034,500,0.00810481338464989,499,0.05,500,TRUE
"reduced_sensitivity","A3_axial",100,8,8,2,"HSIC fixed-grid sensitivity",1,500,0,499,0.05,500,TRUE
"reduced_sensitivity","A4_multimodal",100,8,8,2,"HSIC fixed-grid sensitivity",0.208,500,0.0181513635851415,499,0.05,500,TRUE
