method,statistic,p.value,retained_grid_points,kind,scenario,n,effect,repetition,B,seed
naive Euclidean-angle HSIC anti-example,0.0015496985084143,0.16,NA,null,N1_uniform_uniform,200,0,377,499,20564376
first-order trigonometric moment diagnostic,0.0493138727929206,0.032,NA,null,N1_uniform_uniform,200,0,377,499,20564376
HSIC fixed,0.186466623119995,0.11,NA,null,N1_uniform_uniform,200,0,378,499,20564386
HSIC median,0.00190424055627841,0.096,NA,null,N1_uniform_uniform,200,0,378,499,20564386
HSIC standardized multi-scale,1.23541331607145,0.19,7,null,N1_uniform_uniform,200,0,378,499,20564386
naive Euclidean-angle HSIC anti-example,0.000978853001725067,0.38,NA,null,N1_uniform_uniform,200,0,378,499,20564386
first-order trigonometric moment diagnostic,0.0397293367556862,0.096,NA,null,N1_uniform_uniform,200,0,378,499,20564386
HSIC fixed,0.0835791746767603,0.89,NA,null,N1_uniform_uniform,200,0,379,499,20564396
HSIC median,0.000470920400898323,0.864,NA,null,N1_uniform_uniform,200,0,379,499,20564396
HSIC standardized multi-scale,-0.939734033722354,0.948,7,null,N1_uniform_uniform,200,0,379,499,20564396
naive Euclidean-angle HSIC anti-example,0.000607020554013301,0.654,NA,null,N1_uniform_uniform,200,0,379,499,20564396
first-order trigonometric moment diagnostic,0.00814454791499276,0.798,NA,null,N1_uniform_uniform,200,0,379,499,20564396
HSIC fixed,0.133049954581393,0.388,NA,null,N1_uniform_uniform,200,0,380,499,20564406
HSIC median,0.000947719358089512,0.46,NA,null,N1_uniform_uniform,200,0,380,499,20564406
HSIC standardized multi-scale,0.668782434771615,0.386,7,null,N1_uniform_uniform,200,0,380,499,20564406
naive Euclidean-angle HSIC anti-example,0.000812929598628961,0.452,NA,null,N1_uniform_uniform,200,0,380,499,20564406
first-order trigonometric moment diagnostic,0.0170496077042877,0.488,NA,null,N1_uniform_uniform,200,0,380,499,20564406
HSIC fixed,0.136129924574452,0.376,NA,null,N1_uniform_uniform,200,0,381,499,20564416
HSIC median,0.00100833157795927,0.386,NA,null,N1_uniform_uniform,200,0,381,499,20564416
HSIC standardized multi-scale,0.101464822759417,0.62,7,null,N1_uniform_uniform,200,0,381,499,20564416
naive Euclidean-angle HSIC anti-example,0.00096701911400373,0.388,NA,null,N1_uniform_uniform,200,0,381,499,20564416
first-order trigonometric moment diagnostic,0.0166537311037656,0.528,NA,null,N1_uniform_uniform,200,0,381,499,20564416
HSIC fixed,0.0771393416511012,0.91,NA,null,N1_uniform_uniform,200,0,382,499,20564426
HSIC median,0.000474582004539041,0.832,NA,null,N1_uniform_uniform,200,0,382,499,20564426
HSIC standardized multi-scale,-0.717764386989304,0.9,7,null,N1_uniform_uniform,200,0,382,499,20564426
naive Euclidean-angle HSIC anti-example,0.000582302253759764,0.64,NA,null,N1_uniform_uniform,200,0,382,499,20564426
first-order trigonometric moment diagnostic,0.0087144854410582,0.78,NA,null,N1_uniform_uniform,200,0,382,499,20564426
HSIC fixed,0.152648182268452,0.254,NA,null,N1_uniform_uniform,200,0,383,499,20564436
HSIC median,0.00170485753826478,0.122,NA,null,N1_uniform_uniform,200,0,383,499,20564436
HSIC standardized multi-scale,0.49690949206517,0.41,6,null,N1_uniform_uniform,200,0,383,499,20564436
naive Euclidean-angle HSIC anti-example,0.000858774231134259,0.454,NA,null,N1_uniform_uniform,200,0,383,499,20564436
first-order trigonometric moment diagnostic,0.035444847670772,0.144,NA,null,N1_uniform_uniform,200,0,383,499,20564436
HSIC fixed,0.134907662395117,0.354,NA,null,N1_uniform_uniform,200,0,384,499,20564446
HSIC median,0.00129261516178681,0.322,NA,null,N1_uniform_uniform,200,0,384,499,20564446
HSIC standardized multi-scale,0.529213969431027,0.436,7,null,N1_uniform_uniform,200,0,384,499,20564446
naive Euclidean-angle HSIC anti-example,0.00162625283304509,0.14,NA,null,N1_uniform_uniform,200,0,384,499,20564446
first-order trigonometric moment diagnostic,0.026471624620469,0.28,NA,null,N1_uniform_uniform,200,0,384,499,20564446
HSIC fixed,0.24078167530562,0.012,NA,null,N1_uniform_uniform,200,0,385,499,20564456
HSIC median,0.00262157467354334,0.026,NA,null,N1_uniform_uniform,200,0,385,499,20564456
HSIC standardized multi-scale,2.1712970072874,0.06,7,null,N1_uniform_uniform,200,0,385,499,20564456
naive Euclidean-angle HSIC anti-example,0.00316011369524686,0.012,NA,null,N1_uniform_uniform,200,0,385,499,20564456
first-order trigonometric moment diagnostic,0.0517201846927861,0.032,NA,null,N1_uniform_uniform,200,0,385,499,20564456
HSIC fixed,0.0918448798868902,0.814,NA,null,N1_uniform_uniform,200,0,386,499,20564466
HSIC median,0.000736942542496433,0.676,NA,null,N1_uniform_uniform,200,0,386,499,20564466
HSIC standardized multi-scale,-1.00004399638402,0.938,7,null,N1_uniform_uniform,200,0,386,499,20564466
naive Euclidean-angle HSIC anti-example,0.000535982360321613,0.708,NA,null,N1_uniform_uniform,200,0,386,499,20564466
first-order trigonometric moment diagnostic,0.0142132663721459,0.598,NA,null,N1_uniform_uniform,200,0,386,499,20564466
HSIC fixed,0.111340980277653,0.596,NA,null,N1_uniform_uniform,200,0,387,499,20564476
HSIC median,0.00117720634940463,0.322,NA,null,N1_uniform_uniform,200,0,387,499,20564476
HSIC standardized multi-scale,-0.360537838502791,0.808,7,null,N1_uniform_uniform,200,0,387,499,20564476
naive Euclidean-angle HSIC anti-example,0.00197395010027202,0.062,NA,null,N1_uniform_uniform,200,0,387,499,20564476
first-order trigonometric moment diagnostic,0.0261301920715108,0.242,NA,null,N1_uniform_uniform,200,0,387,499,20564476
HSIC fixed,0.149070651492629,0.278,NA,null,N1_uniform_uniform,200,0,388,499,20564486
HSIC median,0.00142348407216785,0.232,NA,null,N1_uniform_uniform,200,0,388,499,20564486
HSIC standardized multi-scale,1.32562341593511,0.162,7,null,N1_uniform_uniform,200,0,388,499,20564486
naive Euclidean-angle HSIC anti-example,0.000795795076981336,0.444,NA,null,N1_uniform_uniform,200,0,388,499,20564486
first-order trigonometric moment diagnostic,0.0292821009203864,0.208,NA,null,N1_uniform_uniform,200,0,388,499,20564486
HSIC fixed,0.0792518024069522,0.908,NA,null,N1_uniform_uniform,200,0,389,499,20564496
HSIC median,0.00042003682470989,0.864,NA,null,N1_uniform_uniform,200,0,389,499,20564496
HSIC standardized multi-scale,0.502802475948097,0.438,6,null,N1_uniform_uniform,200,0,389,499,20564496
naive Euclidean-angle HSIC anti-example,0.000445964560761025,0.782,NA,null,N1_uniform_uniform,200,0,389,499,20564496
first-order trigonometric moment diagnostic,0.00765077488482396,0.85,NA,null,N1_uniform_uniform,200,0,389,499,20564496
HSIC fixed,0.137272845852868,0.392,NA,null,N1_uniform_uniform,200,0,390,499,20564506
HSIC median,0.00143895702263302,0.194,NA,null,N1_uniform_uniform,200,0,390,499,20564506
HSIC standardized multi-scale,0.118123973097437,0.642,7,null,N1_uniform_uniform,200,0,390,499,20564506
naive Euclidean-angle HSIC anti-example,0.00182450613653373,0.118,NA,null,N1_uniform_uniform,200,0,390,499,20564506
first-order trigonometric moment diagnostic,0.030232849239648,0.188,NA,null,N1_uniform_uniform,200,0,390,499,20564506
HSIC fixed,0.188630965372087,0.09,NA,null,N1_uniform_uniform,200,0,391,499,20564516
HSIC median,0.0014296582426484,0.216,NA,null,N1_uniform_uniform,200,0,391,499,20564516
HSIC standardized multi-scale,1.51566200526606,0.132,7,null,N1_uniform_uniform,200,0,391,499,20564516
naive Euclidean-angle HSIC anti-example,0.00105520542267301,0.366,NA,null,N1_uniform_uniform,200,0,391,499,20564516
first-order trigonometric moment diagnostic,0.0247269921563597,0.27,NA,null,N1_uniform_uniform,200,0,391,499,20564516
HSIC fixed,0.194596407361086,0.082,NA,null,N1_uniform_uniform,200,0,392,499,20564526
HSIC median,0.00203681186173215,0.066,NA,null,N1_uniform_uniform,200,0,392,499,20564526
HSIC standardized multi-scale,1.42921272690534,0.152,6,null,N1_uniform_uniform,200,0,392,499,20564526
naive Euclidean-angle HSIC anti-example,0.000573695326881922,0.674,NA,null,N1_uniform_uniform,200,0,392,499,20564526
first-order trigonometric moment diagnostic,0.0426792948058244,0.068,NA,null,N1_uniform_uniform,200,0,392,499,20564526
HSIC fixed,0.161704514141697,0.196,NA,null,N1_uniform_uniform,200,0,393,499,20564536
HSIC median,0.000747966081010632,0.636,NA,null,N1_uniform_uniform,200,0,393,499,20564536
HSIC standardized multi-scale,1.93478397776515,0.064,6,null,N1_uniform_uniform,200,0,393,499,20564536
naive Euclidean-angle HSIC anti-example,0.000345064431960083,0.814,NA,null,N1_uniform_uniform,200,0,393,499,20564536
first-order trigonometric moment diagnostic,0.00737878776404728,0.844,NA,null,N1_uniform_uniform,200,0,393,499,20564536
HSIC fixed,0.0752666283198085,0.93,NA,null,N1_uniform_uniform,200,0,394,499,20564546
HSIC median,0.000313833985640425,0.964,NA,null,N1_uniform_uniform,200,0,394,499,20564546
HSIC standardized multi-scale,0.452788574698938,0.45,6,null,N1_uniform_uniform,200,0,394,499,20564546
naive Euclidean-angle HSIC anti-example,0.000429648661607467,0.806,NA,null,N1_uniform_uniform,200,0,394,499,20564546
first-order trigonometric moment diagnostic,0.0058820218240338,0.88,NA,null,N1_uniform_uniform,200,0,394,499,20564546
HSIC fixed,0.170826125598923,0.164,NA,null,N1_uniform_uniform,200,0,395,499,20564556
HSIC median,0.00172291385058903,0.114,NA,null,N1_uniform_uniform,200,0,395,499,20564556
HSIC standardized multi-scale,0.111348649193935,0.624,7,null,N1_uniform_uniform,200,0,395,499,20564556
naive Euclidean-angle HSIC anti-example,0.000652384891792884,0.602,NA,null,N1_uniform_uniform,200,0,395,499,20564556
first-order trigonometric moment diagnostic,0.0360463863844126,0.112,NA,null,N1_uniform_uniform,200,0,395,499,20564556
HSIC fixed,0.10882933526271,0.664,NA,null,N1_uniform_uniform,200,0,396,499,20564566
HSIC median,0.000549764397913254,0.792,NA,null,N1_uniform_uniform,200,0,396,499,20564566
HSIC standardized multi-scale,-0.112210513357211,0.688,6,null,N1_uniform_uniform,200,0,396,499,20564566
naive Euclidean-angle HSIC anti-example,0.000576582252223515,0.604,NA,null,N1_uniform_uniform,200,0,396,499,20564566
first-order trigonometric moment diagnostic,0.00670620131700528,0.876,NA,null,N1_uniform_uniform,200,0,396,499,20564566
HSIC fixed,0.124256269017657,0.482,NA,null,N1_uniform_uniform,200,0,397,499,20564576
HSIC median,0.000647564168857403,0.696,NA,null,N1_uniform_uniform,200,0,397,499,20564576
HSIC standardized multi-scale,1.60080979799327,0.124,7,null,N1_uniform_uniform,200,0,397,499,20564576
naive Euclidean-angle HSIC anti-example,0.000416378080429854,0.828,NA,null,N1_uniform_uniform,200,0,397,499,20564576
first-order trigonometric moment diagnostic,0.0086465555101412,0.76,NA,null,N1_uniform_uniform,200,0,397,499,20564576
HSIC fixed,0.185997374634762,0.094,NA,null,N1_uniform_uniform,200,0,398,499,20564586
HSIC median,0.0012779741838232,0.252,NA,null,N1_uniform_uniform,200,0,398,499,20564586
HSIC standardized multi-scale,2.42478400737405,0.036,7,null,N1_uniform_uniform,200,0,398,499,20564586
naive Euclidean-angle HSIC anti-example,0.00155961953410793,0.176,NA,null,N1_uniform_uniform,200,0,398,499,20564586
first-order trigonometric moment diagnostic,0.0207146212319418,0.444,NA,null,N1_uniform_uniform,200,0,398,499,20564586
HSIC fixed,0.133255438515092,0.374,NA,null,N1_uniform_uniform,200,0,399,499,20564596
HSIC median,0.00101556144037986,0.442,NA,null,N1_uniform_uniform,200,0,399,499,20564596
HSIC standardized multi-scale,1.536282100995,0.14,7,null,N1_uniform_uniform,200,0,399,499,20564596
naive Euclidean-angle HSIC anti-example,0.000805024832317923,0.49,NA,null,N1_uniform_uniform,200,0,399,499,20564596
first-order trigonometric moment diagnostic,0.0206622192229515,0.422,NA,null,N1_uniform_uniform,200,0,399,499,20564596
HSIC fixed,0.132594783804969,0.42,NA,null,N1_uniform_uniform,200,0,400,499,20564606
HSIC median,0.00127192045832743,0.32,NA,null,N1_uniform_uniform,200,0,400,499,20564606
HSIC standardized multi-scale,0.774598597735918,0.344,7,null,N1_uniform_uniform,200,0,400,499,20564606
naive Euclidean-angle HSIC anti-example,0.00102129873500826,0.362,NA,null,N1_uniform_uniform,200,0,400,499,20564606
first-order trigonometric moment diagnostic,0.0265189841121784,0.228,NA,null,N1_uniform_uniform,200,0,400,499,20564606
HSIC fixed,0.127435964649987,0.466,NA,null,N1_uniform_uniform,200,0,401,499,20564616
HSIC median,0.00068616735172224,0.612,NA,null,N1_uniform_uniform,200,0,401,499,20564616
HSIC standardized multi-scale,0.139254958808002,0.594,6,null,N1_uniform_uniform,200,0,401,499,20564616
naive Euclidean-angle HSIC anti-example,0.000377481385915393,0.812,NA,null,N1_uniform_uniform,200,0,401,499,20564616
first-order trigonometric moment diagnostic,0.0101928630631208,0.736,NA,null,N1_uniform_uniform,200,0,401,499,20564616
HSIC fixed,0.107284218327314,0.646,NA,null,N1_uniform_uniform,200,0,402,499,20564626
HSIC median,0.000630709400004473,0.736,NA,null,N1_uniform_uniform,200,0,402,499,20564626
HSIC standardized multi-scale,0.0387353073667156,0.668,7,null,N1_uniform_uniform,200,0,402,499,20564626
naive Euclidean-angle HSIC anti-example,0.00033164441987076,0.884,NA,null,N1_uniform_uniform,200,0,402,499,20564626
first-order trigonometric moment diagnostic,0.0101921447725142,0.716,NA,null,N1_uniform_uniform,200,0,402,499,20564626
HSIC fixed,0.118064381509905,0.582,NA,null,N1_uniform_uniform,200,0,403,499,20564636
HSIC median,0.00105640079824359,0.37,NA,null,N1_uniform_uniform,200,0,403,499,20564636
HSIC standardized multi-scale,1.05587826140294,0.28,7,null,N1_uniform_uniform,200,0,403,499,20564636
naive Euclidean-angle HSIC anti-example,0.000947435451013703,0.38,NA,null,N1_uniform_uniform,200,0,403,499,20564636
first-order trigonometric moment diagnostic,0.0220475844283518,0.364,NA,null,N1_uniform_uniform,200,0,403,499,20564636
HSIC fixed,0.13631267583471,0.394,NA,null,N1_uniform_uniform,200,0,404,499,20564646
HSIC median,0.000950388701353108,0.424,NA,null,N1_uniform_uniform,200,0,404,499,20564646
HSIC standardized multi-scale,-0.0512161689878741,0.654,6,null,N1_uniform_uniform,200,0,404,499,20564646
naive Euclidean-angle HSIC anti-example,0.000396792587532386,0.814,NA,null,N1_uniform_uniform,200,0,404,499,20564646
first-order trigonometric moment diagnostic,0.0156161790503829,0.496,NA,null,N1_uniform_uniform,200,0,404,499,20564646
HSIC fixed,0.0978073701337726,0.756,NA,null,N1_uniform_uniform,200,0,405,499,20564656
HSIC median,0.000658549200758936,0.72,NA,null,N1_uniform_uniform,200,0,405,499,20564656
HSIC standardized multi-scale,-0.58909493758561,0.868,7,null,N1_uniform_uniform,200,0,405,499,20564656
naive Euclidean-angle HSIC anti-example,0.000706399675264766,0.576,NA,null,N1_uniform_uniform,200,0,405,499,20564656
first-order trigonometric moment diagnostic,0.011095124413635,0.676,NA,null,N1_uniform_uniform,200,0,405,499,20564656
HSIC fixed,0.178293100247339,0.126,NA,null,N1_uniform_uniform,200,0,406,499,20564666
HSIC median,0.00177425141498408,0.15,NA,null,N1_uniform_uniform,200,0,406,499,20564666
HSIC standardized multi-scale,-0.235323180297876,0.74,7,null,N1_uniform_uniform,200,0,406,499,20564666
naive Euclidean-angle HSIC anti-example,0.00153024066426302,0.154,NA,null,N1_uniform_uniform,200,0,406,499,20564666
first-order trigonometric moment diagnostic,0.0373771277569419,0.152,NA,null,N1_uniform_uniform,200,0,406,499,20564666
HSIC fixed,0.099682413518314,0.754,NA,null,N1_uniform_uniform,200,0,407,499,20564676
HSIC median,0.00062248928397785,0.734,NA,null,N1_uniform_uniform,200,0,407,499,20564676
HSIC standardized multi-scale,0.284437513666962,0.534,6,null,N1_uniform_uniform,200,0,407,499,20564676
naive Euclidean-angle HSIC anti-example,0.000481607263453271,0.744,NA,null,N1_uniform_uniform,200,0,407,499,20564676
first-order trigonometric moment diagnostic,0.0107895259747405,0.694,NA,null,N1_uniform_uniform,200,0,407,499,20564676
HSIC fixed,0.104824681914356,0.72,NA,null,N1_uniform_uniform,200,0,408,499,20564686
HSIC median,0.000753718290164606,0.622,NA,null,N1_uniform_uniform,200,0,408,499,20564686
HSIC standardized multi-scale,0.802026474922804,0.374,7,null,N1_uniform_uniform,200,0,408,499,20564686
naive Euclidean-angle HSIC anti-example,0.000512176235502734,0.704,NA,null,N1_uniform_uniform,200,0,408,499,20564686
first-order trigonometric moment diagnostic,0.0144247686687117,0.57,NA,null,N1_uniform_uniform,200,0,408,499,20564686
HSIC fixed,0.121638314058235,0.532,NA,null,N1_uniform_uniform,200,0,409,499,20564696
HSIC median,0.00110751131041835,0.394,NA,null,N1_uniform_uniform,200,0,409,499,20564696
HSIC standardized multi-scale,-0.27916359344952,0.74,6,null,N1_uniform_uniform,200,0,409,499,20564696
naive Euclidean-angle HSIC anti-example,0.000810534727671481,0.442,NA,null,N1_uniform_uniform,200,0,409,499,20564696
first-order trigonometric moment diagnostic,0.0225666508058731,0.314,NA,null,N1_uniform_uniform,200,0,409,499,20564696
HSIC fixed,0.14487792290989,0.326,NA,null,N1_uniform_uniform,200,0,410,499,20564706
HSIC median,0.00158873240264213,0.13,NA,null,N1_uniform_uniform,200,0,410,499,20564706
HSIC standardized multi-scale,0.883459897294967,0.286,7,null,N1_uniform_uniform,200,0,410,499,20564706
naive Euclidean-angle HSIC anti-example,0.000797009551048613,0.466,NA,null,N1_uniform_uniform,200,0,410,499,20564706
first-order trigonometric moment diagnostic,0.0351354119539407,0.146,NA,null,N1_uniform_uniform,200,0,410,499,20564706
HSIC fixed,0.113254764072799,0.594,NA,null,N1_uniform_uniform,200,0,411,499,20564716
HSIC median,0.000897181005712307,0.542,NA,null,N1_uniform_uniform,200,0,411,499,20564716
HSIC standardized multi-scale,0.170537083430923,0.584,6,null,N1_uniform_uniform,200,0,411,499,20564716
naive Euclidean-angle HSIC anti-example,0.000629763176088231,0.622,NA,null,N1_uniform_uniform,200,0,411,499,20564716
first-order trigonometric moment diagnostic,0.0193378134573869,0.434,NA,null,N1_uniform_uniform,200,0,411,499,20564716
HSIC fixed,0.122192562645536,0.508,NA,null,N1_uniform_uniform,200,0,412,499,20564726
HSIC median,0.00053327093519644,0.78,NA,null,N1_uniform_uniform,200,0,412,499,20564726
HSIC standardized multi-scale,1.38669056961799,0.164,7,null,N1_uniform_uniform,200,0,412,499,20564726
naive Euclidean-angle HSIC anti-example,0.00139961054541317,0.184,NA,null,N1_uniform_uniform,200,0,412,499,20564726
first-order trigonometric moment diagnostic,0.00602581676055398,0.89,NA,null,N1_uniform_uniform,200,0,412,499,20564726
HSIC fixed,0.08925245157197,0.846,NA,null,N1_uniform_uniform,200,0,413,499,20564736
HSIC median,0.000748431099766623,0.628,NA,null,N1_uniform_uniform,200,0,413,499,20564736
HSIC standardized multi-scale,-0.49923620165232,0.816,6,null,N1_uniform_uniform,200,0,413,499,20564736
naive Euclidean-angle HSIC anti-example,0.00066411304185229,0.622,NA,null,N1_uniform_uniform,200,0,413,499,20564736
first-order trigonometric moment diagnostic,0.0150748500797643,0.544,NA,null,N1_uniform_uniform,200,0,413,499,20564736
HSIC fixed,0.084188301749474,0.86,NA,null,N1_uniform_uniform,200,0,414,499,20564746
HSIC median,0.000318269728176916,0.95,NA,null,N1_uniform_uniform,200,0,414,499,20564746
HSIC standardized multi-scale,0.168276940855173,0.59,7,null,N1_uniform_uniform,200,0,414,499,20564746
naive Euclidean-angle HSIC anti-example,0.000335785245186255,0.866,NA,null,N1_uniform_uniform,200,0,414,499,20564746
first-order trigonometric moment diagnostic,0.00244393234317952,0.978,NA,null,N1_uniform_uniform,200,0,414,499,20564746
HSIC fixed,0.104228318084946,0.662,NA,null,N1_uniform_uniform,200,0,415,499,20564756
HSIC median,0.000784434129690666,0.66,NA,null,N1_uniform_uniform,200,0,415,499,20564756
HSIC standardized multi-scale,-0.59346203234285,0.85,7,null,N1_uniform_uniform,200,0,415,499,20564756
naive Euclidean-angle HSIC anti-example,0.000308533801495216,0.872,NA,null,N1_uniform_uniform,200,0,415,499,20564756
first-order trigonometric moment diagnostic,0.0135136942251726,0.636,NA,null,N1_uniform_uniform,200,0,415,499,20564756
HSIC fixed,0.135035234319847,0.374,NA,null,N1_uniform_uniform,200,0,416,499,20564766
HSIC median,0.00126349273624099,0.298,NA,null,N1_uniform_uniform,200,0,416,499,20564766
HSIC standardized multi-scale,-1.04914708111995,0.928,5,null,N1_uniform_uniform,200,0,416,499,20564766
naive Euclidean-angle HSIC anti-example,0.000620907401019393,0.624,NA,null,N1_uniform_uniform,200,0,416,499,20564766
first-order trigonometric moment diagnostic,0.0254490120115731,0.298,NA,null,N1_uniform_uniform,200,0,416,499,20564766
HSIC fixed,0.160514895795885,0.204,NA,null,N1_uniform_uniform,200,0,417,499,20564776
HSIC median,0.00148139670927222,0.196,NA,null,N1_uniform_uniform,200,0,417,499,20564776
HSIC standardized multi-scale,0.80143936052497,0.318,6,null,N1_uniform_uniform,200,0,417,499,20564776
naive Euclidean-angle HSIC anti-example,0.000906731996332297,0.402,NA,null,N1_uniform_uniform,200,0,417,499,20564776
first-order trigonometric moment diagnostic,0.0303532305438204,0.232,NA,null,N1_uniform_uniform,200,0,417,499,20564776
HSIC fixed,0.146086114194022,0.312,NA,null,N1_uniform_uniform,200,0,418,499,20564786
HSIC median,0.00110422380205095,0.398,NA,null,N1_uniform_uniform,200,0,418,499,20564786
HSIC standardized multi-scale,0.663251417460994,0.396,7,null,N1_uniform_uniform,200,0,418,499,20564786
naive Euclidean-angle HSIC anti-example,0.00158348369412438,0.114,NA,null,N1_uniform_uniform,200,0,418,499,20564786
first-order trigonometric moment diagnostic,0.0203731702743237,0.384,NA,null,N1_uniform_uniform,200,0,418,499,20564786
HSIC fixed,0.140829942647694,0.33,NA,null,N1_uniform_uniform,200,0,419,499,20564796
HSIC median,0.00101384657229091,0.444,NA,null,N1_uniform_uniform,200,0,419,499,20564796
HSIC standardized multi-scale,0.733197773003378,0.356,7,null,N1_uniform_uniform,200,0,419,499,20564796
naive Euclidean-angle HSIC anti-example,0.000845313451502753,0.434,NA,null,N1_uniform_uniform,200,0,419,499,20564796
first-order trigonometric moment diagnostic,0.0188430562340538,0.436,NA,null,N1_uniform_uniform,200,0,419,499,20564796
HSIC fixed,0.12016580582955,0.532,NA,null,N1_uniform_uniform,200,0,420,499,20564806
HSIC median,0.000827270150116781,0.482,NA,null,N1_uniform_uniform,200,0,420,499,20564806
HSIC standardized multi-scale,-0.784941480231238,0.91,7,null,N1_uniform_uniform,200,0,420,499,20564806
naive Euclidean-angle HSIC anti-example,0.000550138380159552,0.692,NA,null,N1_uniform_uniform,200,0,420,499,20564806
first-order trigonometric moment diagnostic,0.0146032901456403,0.582,NA,null,N1_uniform_uniform,200,0,420,499,20564806
HSIC fixed,0.135418237410301,0.372,NA,null,N1_uniform_uniform,200,0,421,499,20564816
HSIC median,0.00112867629006485,0.372,NA,null,N1_uniform_uniform,200,0,421,499,20564816
HSIC standardized multi-scale,0.175503253025213,0.58,7,null,N1_uniform_uniform,200,0,421,499,20564816
naive Euclidean-angle HSIC anti-example,0.00092245389509241,0.376,NA,null,N1_uniform_uniform,200,0,421,499,20564816
first-order trigonometric moment diagnostic,0.0217293464501922,0.384,NA,null,N1_uniform_uniform,200,0,421,499,20564816
HSIC fixed,0.103307248567605,0.72,NA,null,N1_uniform_uniform,200,0,422,499,20564826
HSIC median,0.000516423747784336,0.83,NA,null,N1_uniform_uniform,200,0,422,499,20564826
HSIC standardized multi-scale,1.03622456813795,0.282,7,null,N1_uniform_uniform,200,0,422,499,20564826
naive Euclidean-angle HSIC anti-example,0.000285091481831736,0.908,NA,null,N1_uniform_uniform,200,0,422,499,20564826
first-order trigonometric moment diagnostic,0.0079190259041015,0.822,NA,null,N1_uniform_uniform,200,0,422,499,20564826
HSIC fixed,0.12376348477036,0.522,NA,null,N1_uniform_uniform,200,0,423,499,20564836
HSIC median,0.000886024916803732,0.508,NA,null,N1_uniform_uniform,200,0,423,499,20564836
HSIC standardized multi-scale,0.891957950798653,0.33,7,null,N1_uniform_uniform,200,0,423,499,20564836
naive Euclidean-angle HSIC anti-example,0.000693856293604614,0.54,NA,null,N1_uniform_uniform,200,0,423,499,20564836
first-order trigonometric moment diagnostic,0.0159535445296271,0.548,NA,null,N1_uniform_uniform,200,0,423,499,20564836
HSIC fixed,0.0781737418114355,0.914,NA,null,N1_uniform_uniform,200,0,424,499,20564846
HSIC median,0.000376698860458629,0.922,NA,null,N1_uniform_uniform,200,0,424,499,20564846
HSIC standardized multi-scale,-0.500938186911251,0.85,7,null,N1_uniform_uniform,200,0,424,499,20564846
naive Euclidean-angle HSIC anti-example,0.000315935756879861,0.894,NA,null,N1_uniform_uniform,200,0,424,499,20564846
first-order trigonometric moment diagnostic,0.0046434737456764,0.918,NA,null,N1_uniform_uniform,200,0,424,499,20564846
HSIC fixed,0.212519313740177,0.062,NA,null,N1_uniform_uniform,200,0,425,499,20564856
HSIC median,0.00264126590549693,0.016,NA,null,N1_uniform_uniform,200,0,425,499,20564856
HSIC standardized multi-scale,1.00553768501177,0.282,7,null,N1_uniform_uniform,200,0,425,499,20564856
naive Euclidean-angle HSIC anti-example,0.00184339248330157,0.098,NA,null,N1_uniform_uniform,200,0,425,499,20564856
first-order trigonometric moment diagnostic,0.0597523492509379,0.014,NA,null,N1_uniform_uniform,200,0,425,499,20564856
HSIC fixed,0.135762199039501,0.42,NA,null,N1_uniform_uniform,200,0,426,499,20564866
HSIC median,0.00084332753575851,0.538,NA,null,N1_uniform_uniform,200,0,426,499,20564866
HSIC standardized multi-scale,1.19693823724471,0.218,7,null,N1_uniform_uniform,200,0,426,499,20564866
naive Euclidean-angle HSIC anti-example,0.000696993970746494,0.56,NA,null,N1_uniform_uniform,200,0,426,499,20564866
first-order trigonometric moment diagnostic,0.0143537429754033,0.566,NA,null,N1_uniform_uniform,200,0,426,499,20564866
HSIC fixed,0.122394935420325,0.504,NA,null,N1_uniform_uniform,200,0,427,499,20564876
HSIC median,0.000768097094269379,0.582,NA,null,N1_uniform_uniform,200,0,427,499,20564876
HSIC standardized multi-scale,1.15156531497417,0.228,6,null,N1_uniform_uniform,200,0,427,499,20564876
naive Euclidean-angle HSIC anti-example,0.00060496633211026,0.614,NA,null,N1_uniform_uniform,200,0,427,499,20564876
first-order trigonometric moment diagnostic,0.012298323207455,0.616,NA,null,N1_uniform_uniform,200,0,427,499,20564876
HSIC fixed,0.140300578964051,0.368,NA,null,N1_uniform_uniform,200,0,428,499,20564886
HSIC median,0.00128567378649336,0.296,NA,null,N1_uniform_uniform,200,0,428,499,20564886
HSIC standardized multi-scale,0.807586561830536,0.334,7,null,N1_uniform_uniform,200,0,428,499,20564886
naive Euclidean-angle HSIC anti-example,0.00122598025708614,0.248,NA,null,N1_uniform_uniform,200,0,428,499,20564886
first-order trigonometric moment diagnostic,0.0254054963119858,0.272,NA,null,N1_uniform_uniform,200,0,428,499,20564886
HSIC fixed,0.103309158240974,0.704,NA,null,N1_uniform_uniform,200,0,429,499,20564896
HSIC median,0.000696069918500671,0.676,NA,null,N1_uniform_uniform,200,0,429,499,20564896
HSIC standardized multi-scale,0.59036061822436,0.428,7,null,N1_uniform_uniform,200,0,429,499,20564896
naive Euclidean-angle HSIC anti-example,0.00131153073999134,0.208,NA,null,N1_uniform_uniform,200,0,429,499,20564896
first-order trigonometric moment diagnostic,0.0126239488033047,0.676,NA,null,N1_uniform_uniform,200,0,429,499,20564896
HSIC fixed,0.107894560620007,0.656,NA,null,N1_uniform_uniform,200,0,430,499,20564906
HSIC median,0.0006274408297291,0.744,NA,null,N1_uniform_uniform,200,0,430,499,20564906
