method,statistic,p.value,retained_grid_points,kind,scenario,n,effect,repetition,B,seed
HSIC standardized multi-scale,0.689901465866984,0.376,7,null,N1_uniform_uniform,100,0,11,499,20460716
naive Euclidean-angle HSIC anti-example,0.00125635220917057,0.566,NA,null,N1_uniform_uniform,100,0,11,499,20460716
first-order trigonometric moment diagnostic,0.0150574391734426,0.832,NA,null,N1_uniform_uniform,100,0,11,499,20460716
HSIC fixed,0.242734250290155,0.534,NA,null,N1_uniform_uniform,100,0,12,499,20460726
HSIC median,0.00144084823871548,0.658,NA,null,N1_uniform_uniform,100,0,12,499,20460726
HSIC standardized multi-scale,1.54191740078345,0.128,7,null,N1_uniform_uniform,100,0,12,499,20460726
naive Euclidean-angle HSIC anti-example,0.00273268006393717,0.178,NA,null,N1_uniform_uniform,100,0,12,499,20460726
first-order trigonometric moment diagnostic,0.026757113022454,0.654,NA,null,N1_uniform_uniform,100,0,12,499,20460726
HSIC fixed,0.304234263773284,0.252,NA,null,N1_uniform_uniform,100,0,13,499,20460736
HSIC median,0.00348366162278513,0.136,NA,null,N1_uniform_uniform,100,0,13,499,20460736
HSIC standardized multi-scale,0.398676340465547,0.524,7,null,N1_uniform_uniform,100,0,13,499,20460736
naive Euclidean-angle HSIC anti-example,0.00267573405004369,0.188,NA,null,N1_uniform_uniform,100,0,13,499,20460736
first-order trigonometric moment diagnostic,0.0825234739498927,0.094,NA,null,N1_uniform_uniform,100,0,13,499,20460736
HSIC fixed,0.25758753452615,0.472,NA,null,N1_uniform_uniform,100,0,14,499,20460746
HSIC median,0.0024441441009869,0.322,NA,null,N1_uniform_uniform,100,0,14,499,20460746
HSIC standardized multi-scale,0.840160449992353,0.344,7,null,N1_uniform_uniform,100,0,14,499,20460746
naive Euclidean-angle HSIC anti-example,0.00227706047422957,0.304,NA,null,N1_uniform_uniform,100,0,14,499,20460746
first-order trigonometric moment diagnostic,0.0576169443990325,0.228,NA,null,N1_uniform_uniform,100,0,14,499,20460746
HSIC fixed,0.368869013867445,0.104,NA,null,N1_uniform_uniform,100,0,15,499,20460756
HSIC median,0.0023080521120421,0.334,NA,null,N1_uniform_uniform,100,0,15,499,20460756
HSIC standardized multi-scale,2.68585911558523,0.032,7,null,N1_uniform_uniform,100,0,15,499,20460756
naive Euclidean-angle HSIC anti-example,0.00156733127950115,0.478,NA,null,N1_uniform_uniform,100,0,15,499,20460756
first-order trigonometric moment diagnostic,0.0399666609802115,0.422,NA,null,N1_uniform_uniform,100,0,15,499,20460756
HSIC fixed,0.323530433020498,0.194,NA,null,N1_uniform_uniform,100,0,16,499,20460766
HSIC median,0.00330405044158155,0.108,NA,null,N1_uniform_uniform,100,0,16,499,20460766
HSIC standardized multi-scale,0.814687743880727,0.352,7,null,N1_uniform_uniform,100,0,16,499,20460766
naive Euclidean-angle HSIC anti-example,0.00682946597972777,0.018,NA,null,N1_uniform_uniform,100,0,16,499,20460766
first-order trigonometric moment diagnostic,0.0737362202714874,0.116,NA,null,N1_uniform_uniform,100,0,16,499,20460766
HSIC fixed,0.238186443153701,0.546,NA,null,N1_uniform_uniform,100,0,17,499,20460776
HSIC median,0.00217145542306486,0.42,NA,null,N1_uniform_uniform,100,0,17,499,20460776
HSIC standardized multi-scale,-0.0658591417224609,0.672,7,null,N1_uniform_uniform,100,0,17,499,20460776
naive Euclidean-angle HSIC anti-example,0.00154167060182603,0.486,NA,null,N1_uniform_uniform,100,0,17,499,20460776
first-order trigonometric moment diagnostic,0.0438722108273689,0.394,NA,null,N1_uniform_uniform,100,0,17,499,20460776
HSIC fixed,0.15642147317647,0.898,NA,null,N1_uniform_uniform,100,0,18,499,20460786
HSIC median,0.000464289081828021,0.996,NA,null,N1_uniform_uniform,100,0,18,499,20460786
HSIC standardized multi-scale,0.888064675366648,0.334,7,null,N1_uniform_uniform,100,0,18,499,20460786
naive Euclidean-angle HSIC anti-example,0.00102773730096953,0.69,NA,null,N1_uniform_uniform,100,0,18,499,20460786
first-order trigonometric moment diagnostic,0.00562259615545797,0.968,NA,null,N1_uniform_uniform,100,0,18,499,20460786
HSIC fixed,0.265999602784366,0.434,NA,null,N1_uniform_uniform,100,0,19,499,20460796
HSIC median,0.00191944561667691,0.474,NA,null,N1_uniform_uniform,100,0,19,499,20460796
HSIC standardized multi-scale,0.314402652037749,0.522,7,null,N1_uniform_uniform,100,0,19,499,20460796
naive Euclidean-angle HSIC anti-example,0.0036056207425954,0.102,NA,null,N1_uniform_uniform,100,0,19,499,20460796
first-order trigonometric moment diagnostic,0.040998939367541,0.416,NA,null,N1_uniform_uniform,100,0,19,499,20460796
HSIC fixed,0.16490885128876,0.896,NA,null,N1_uniform_uniform,100,0,20,499,20460806
HSIC median,0.000844246248998485,0.898,NA,null,N1_uniform_uniform,100,0,20,499,20460806
