"kind","scenario","n","effect","method","statistic","p.value","repetition","B","seed","reject"
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",33.6124980535027,0.00333333333333333,12,299,28660618,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",23.9362239339308,0.553333333333333,13,299,28460619,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",45.4822319496478,0.00333333333333333,13,299,28560619,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",13.2639022220201,0.0733333333333333,13,299,28560619,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",33.1137860590337,0.00333333333333333,13,299,28660619,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",23.1762872133863,0.823333333333333,14,299,28460620,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",43.1650643749879,0.00333333333333333,14,299,28560620,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",12.6987791478118,0.213333333333333,14,299,28560620,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",34.7932476237261,0.00333333333333333,14,299,28660620,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",27.1600036154792,0.02,15,299,28460621,TRUE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",46.2849143759425,0.00333333333333333,15,299,28560621,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",12.3575948991167,0.396666666666667,15,299,28560621,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",32.8442232960872,0.00333333333333333,15,299,28660621,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",25.1071457874098,0.296666666666667,16,299,28460622,FALSE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",43.8348435083248,0.00333333333333333,16,299,28560622,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",11.0256642603864,0.976666666666667,16,299,28560622,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",34.0172351022149,0.00333333333333333,16,299,28660622,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",27.6072043853929,0.0166666666666667,17,299,28460623,TRUE
"torus_demo","T1_coordinate_coupled",100,4,"HSIC torus product",42.6666488454367,0.00333333333333333,17,299,28560623,TRUE
"torus_demo","T0_independent",200,0,"HSIC torus product",12.8162646895535,0.2,17,299,28560623,FALSE
"torus_demo","T1_coordinate_coupled",200,4,"HSIC torus product",32.296865563493,0.00333333333333333,17,299,28660623,TRUE
"torus_demo","T0_independent",100,0,"HSIC torus product",22.6205649251503,0.863333333333333,18,299,28460624,FALSE
