"item","file","data_file","status","note"
"Table 1","/Users/aureliennicosia/Documents/test indep circulaire/geometry-aware-hsic-directional-public/output/final/tables/table1_type1_summary.tex","/Users/aureliennicosia/Documents/test indep circulaire/geometry-aware-hsic-directional-public/output/final/tables/table1_type1_summary.csv","final","Type-I error summary."
"Table 2","/Users/aureliennicosia/Documents/test indep circulaire/geometry-aware-hsic-directional-public/output/final/tables/table2_selected_power.tex","/Users/aureliennicosia/Documents/test indep circulaire/geometry-aware-hsic-directional-public/output/final/tables/table2_selected_power.csv","final","Selected power values at the largest available noise concentration."
"Table 3","/Users/aureliennicosia/Documents/test indep circulaire/geometry-aware-hsic-directional-public/output/final/tables/table3_strategy_comparison.tex","/Users/aureliennicosia/Documents/test indep circulaire/geometry-aware-hsic-directional-public/output/final/tables/table3_strategy_comparison.csv","final","Kernel-parameter strategy comparison."
"Table 4","/Users/aureliennicosia/Documents/test indep circulaire/geometry-aware-hsic-directional-public/output/final/tables/table4_noshiro_p_values.tex","/Users/aureliennicosia/Documents/test indep circulaire/geometry-aware-hsic-directional-public/output/final/tables/table4_noshiro_p_values.csv","final","Noshiro p-values."
"Table 5","/Users/aureliennicosia/Documents/test indep circulaire/geometry-aware-hsic-directional-public/output/final/tables/table5_runtime_benchmark.tex","/Users/aureliennicosia/Documents/test indep circulaire/geometry-aware-hsic-directional-public/output/final/tables/table5_runtime_benchmark.csv","final","Runtime benchmark summary."
"Table 6","/Users/aureliennicosia/Documents/test indep circulaire/geometry-aware-hsic-directional-public/output/final/tables/table6_torus_demo.tex","/Users/aureliennicosia/Documents/test indep circulaire/geometry-aware-hsic-directional-public/output/final/tables/table6_torus_demo.csv","final","Torus demonstration summary."
